t (s)	ag (m/s^2)
14.28	-0.0000518
14.3	0.0000533
14.32	-0.0000597
14.34	0.0000837
14.36	-0.0000936
14.38	0.0000285
14.4	-0.0000328
14.42	0.0000775
14.44	-0.0000941
14.46	0.0000952
14.48	-0.0000709
14.5	0.0000743
14.52	-0.00007
14.54	0.0000566
14.56	-0.0000534
14.58	0.0000648
14.6	-0.0000906
14.62	0.0000839
14.64	-0.0000613
14.66	0.0000465
14.68	-0.0000646
14.7	0.0000802
14.72	-0.0000581
14.74	0.0000504
14.76	-0.0000589
14.78	0.0000818
14.8	-0.0000652
14.82	0.0000511
14.84	-0.0000655
14.86	0.0000817
14.88	-0.0000608
14.9	0.0000299
14.92	-0.0000529
14.94	0.0000734
14.96	-0.0000749
14.98	0.0001117
15	-0.0000966
15.02	0.0000606
15.04	-0.000085
15.06	0.0000631
15.08	-0.0000808
15.1	0.0000746
15.12	-0.0000542
15.14	0.0000685
15.16	-0.0001
15.18	0.0000853
15.2	-0.0000783
15.22	0.0000784
15.24	-0.0000742
15.26	0.000091
15.28	-0.0000826
15.3	0.0000654
15.32	-0.0000789
15.34	0.0000609
15.36	-0.0000722
15.38	0.0000898
15.4	-0.0000643
15.42	0.0000661
15.44	-0.0000747
15.46	0.0001046
15.48	-0.000083
15.5	0.0000662
15.52	-0.0000678
15.54	0.0000679
15.56	-0.00007
15.58	0.0000867
15.6	-0.0000785
15.62	0.0000814
15.64	-0.0000953
15.66	0.0000782
15.68	-0.0000624
15.7	0.0000604
15.72	-0.000076
15.74	0.0000892
15.76	-0.0000806
15.78	0.0000738
15.8	-0.0000749
15.82	0.0000889
15.84	-0.0000794
15.86	0.0000645
15.88	-0.0000696
15.9	0.000081
15.92	-0.0000941
15.94	0.0000854
15.96	-0.0000843
15.98	0.0000745
16	-0.0000872
16.02	0.0000658
16.04	-0.0000776
16.06	0.0000905
16.08	-0.0000784
16.1	0.0000665
16.12	-0.0000823
16.14	0.0000921
16.16	-0.0000957
16.18	0.0000766
16.2	-0.0000916
16.22	0.0000941
16.24	-0.0000764
16.26	0.0000951
16.28	-0.0001035
16.3	0.0000758
16.32	-0.0000778
16.34	0.0000743
16.36	-0.0000698
16.38	0.0000821
16.4	-0.000083
16.42	0.0000711
16.44	-0.0000871
16.46	0.0001005
16.48	-0.0000715
16.5	0.0000753
16.52	-0.0000967
16.54	0.0000758
16.56	-0.0000858
16.58	0.0000884
16.6	-0.000077
16.62	0.0000982
16.64	-0.00008
16.66	0.0000732
16.68	-0.0000854
16.7	0.0000797
16.72	-0.0001034
16.74	0.0000916
16.76	-0.0000858
16.78	0.0000813
16.8	-0.0000801
16.82	0.0000803
16.84	-0.0000819
16.86	0.000086
16.88	-0.0000785
16.9	0.0000798
16.92	-0.0000983
16.94	0.0000944
16.96	-0.0001075
16.98	0.0000775
17	-0.0000837
17.02	0.0000849
17.04	-0.0001102
17.06	0.0000992
17.08	-0.0000734
17.1	0.0000892
17.12	-0.0001143
17.14	0.0001102
17.16	-0.0000987
17.18	0.0000839
17.2	-0.00009
17.22	0.0000873
17.24	-0.0000855
17.26	0.0000969
17.28	-0.0001141
17.3	0.0000989
17.32	-0.0000949
17.34	0.0001014
17.36	-0.0001098
17.38	0.0000894
17.4	-0.0000895
17.42	0.0001001
17.44	-0.0000844
17.46	0.0000912
17.48	-0.0000874
17.5	0.0000895
17.52	-0.0000954
17.54	0.0000968
17.56	-0.0001022
17.58	0.0000859
17.6	-0.0000935
17.62	0.0001014
17.64	-0.0001127
17.66	0.0000961
17.68	-0.0000988
17.7	0.0000933
17.72	-0.0000921
17.74	0.0001048
17.76	-0.0000945
17.78	0.0001026
17.8	-0.0001047
17.82	0.0000956
17.84	-0.0001071
17.86	0.0001015
17.88	-0.0001035
17.9	0.000103
17.92	-0.000103
17.94	0.0001161
17.96	-0.0001195
17.98	0.0000773
18	-0.0001034
18.02	0.0001024
18.04	-0.0000993
18.06	0.0000942
18.08	-0.0001177
18.1	0.0001291
18.12	-0.0001088
18.14	0.0001021
18.16	-0.0001023
18.18	0.0000885
18.2	-0.000103
18.22	0.0000885
18.24	-0.0001111
18.26	0.0001077
18.28	-0.0001027
18.3	0.0001038
18.32	-0.0001166
18.34	0.0001041
18.36	-0.0000998
18.38	0.0000938
18.4	-0.0001083
18.42	0.0001168
18.44	-0.0001172
18.46	0.0001213
18.48	-0.0001159
18.5	0.0000928
18.52	-0.0001066
18.54	0.0000915
18.56	-0.0001182
18.58	0.0001163
18.6	-0.0001128
18.62	0.0001111
18.64	-0.0001183
18.66	0.0001057
18.68	-0.0001095
18.7	0.000112
18.72	-0.0001122
18.74	0.0001194
18.76	-0.0001171
18.78	0.0000982
18.8	-0.0001219
18.82	0.0001152
18.84	-0.0001222
18.86	0.0001087
18.88	-0.0001207
18.9	0.0001106
18.92	-0.0001251
18.94	0.0001166
18.96	-0.0001247
18.98	0.0001109
19	-0.0001272
19.02	0.0001118
19.04	-0.000109
19.06	0.000124
19.08	-0.0001378
